TITLE	LANGUAGE	ABSTRACT	URL
Gardening tool	english	A garden tool is shown that has the compactness and general shape of a conventional straight shaft weeder. However, certain angles are formed in the shaft to facilitate easier use, particular by those with limited flexibility.	https://patents.google.com/patent/US6470972?oq=gardening+tools
Gardening tool with multiple interchangeable tool heads	english	The invention provides a gardening tool with multiple interchangeable tool heads, which includes a grip handle and a connecting head that is located at one end of the grip handle, wherein a plurality of fastening holes is provided at the front side and the lateral side of the connecting head. Besides, a specific tool can be provided at each of the two sides of the first tool head, whereas another specific tool can be provided at the front side of the second tool head. Despite that the tool head may be different, a connecting portion will be provided on each tool head, and a plurality of holes is provided on the connecting portion so that a plurality of fastening elements can be inserted into the holes to fix the connecting portion onto the front end or the side face of the connecting head. Thus, a plurality of tool heads is interchangeable for different usages by being assembled to and disassembled from the connecting head of the grip handle.	https://patents.google.com/patent/US20040244117?oq=gardening+tools
Placing rack for gardening tools	english	The utility model relates to a placing rack for gardening tools. The placing rack comprises a rectangular connecting frame and a placing box body, which are connected with each other; a plurality of connecting holes are formed in the connecting frame; a plurality of hooks are uniformly arranged on each of the left side end surface and the front side end surface of the placing box body; a napkin placing box is arranged on the right side of the placing box body; a cover plate is arranged on the upper side of the napkin placing box; one side of the cover plate is movably connected with the napkin placing box; a rectangular napkin outlet is formed in the front side of the napkin placing box. The placing rack has a simple structure, and is reasonable in design; the placing box body is arranged to be used for placing various required articles effectively, so that not only are articles are conveniently sought by workers, but also occupied space can be reduced; a fluorescent material layer is arranged, so that during use at night, articles are conveniently and quickly sought for by workers, and the working efficiency is improved.	https://patents.google.com/patent/CN203709768U/en?oq=gardening+tools
一种园林工具的置物架	zh	本实用新型涉及一种园林工具的置物架，包括矩形连接架、置物箱体，所述连接架与置物箱体相连接，所述连接架上设有多个连接孔，所述置物箱体左侧端面与前侧端面上均匀设有多个挂钩，置物箱体的右侧设有餐巾纸放置箱，所述餐巾纸放置箱上侧设有盖板，所述盖板一侧与餐巾纸放置箱活动连接，餐巾纸放置箱的前侧上设有矩形出纸口。本实用新型结构简单、设计合理，通过设置置物箱体，能够有效的放置各种所需物品，不仅方便工作人员寻找物品，同时又可以减少空间的占用；通过设置荧光材料层，在夜间使用过程中，便于工作人员快速寻找物品，提高了工作效率。	https://patents.google.com/patent/CN203709768U/zh?oq=gardening+tools
Multifunctional Gardening Tool	english	A multifunctional gardening tool that enables a user to mulch, weed and trim a garden, while also allowing the user to easily remove sod or grass using a single tool. The device comprises a handle, either hand held or elongated, along with a working end having a pentagonal shaped cutting tool. The gripping end of the handle is covered with a soft material to improve a user's grip, while the working end of the device comprises a cutting tool with a top portion that attaches to the handle, two parallel, vertical cutting edges and a protruding V-shaped blade constituting the bottom edges of the blade. Teeth on the V-shaped blade, in conjunction with the two vertical cutting edges of the blade, enable the device to cut through roots, sod and other obstacles typically encountered when working in a garden or yard.	https://patents.google.com/patent/US20130008033?oq=gardening+tools
Multi-purpose gardening tool	english The present invention is directed to a multi-purpose gardening tool. In one preferred embodiment, the tool includes an arcuate central base. Extending from one end of the base is an arcuate scoop adapted to dig into, scoop up and transport a quantity of material. Extending from an opposite end of the base is a substantially V-shaped cutter having a sharpened peripheral edge for cutting through roots and the like. Preferably, the base, scoop and cutter are aligned and have a common radius of curvature to define a smooth bottom surface. The tool includes a handle extending generally parallel to a longitudinal axis of the tool. To protect a hand of a gardener gripping the handle, the handle offset from the peripheral edges of the scoop and cutter and the handle is supported at opposite ends by a pair of solid circular supports.	https://patents.google.com/patent/US6612379?oq=gardening+tools
园林工具刹车装置	zh	本发明公开了一种园林工具刹车装置，包括安装有电机和工作主轴的支座，工作主轴上固定有转轮，电机主轴带动转轮转动，所述支座上固定有套在工作主轴上且伸入转轮内的刹车环，转轮上形成有至少一安装室，安装室内设置有可径向移动的弹性件和位于该弹性件一端且随着弹性件的移动而朝向/远离刹车环的刹车片，当正常工作时，刹车片的离心力大于弹性件的压力，刹车片与刹车环相分离，而当刹车时，刹车片的离心力小于弹性件的压力，刹车片与刹车环接触；本发明将刹车装置从电机主轴移到了工作主轴上，不仅方便了结构设计，而且也提高了刹车效果。	https://patents.google.com/patent/CN101699950B/zh?oq=gardening+tools
Short-handled, ergonomic garden tools	english	Handles allow hand tools, implements or other utensils to operate within their arc of natural use, motion and attack without requiring extension, flexion, radial deviation, or ulnar deviation of the wrist from the neutral plane of the forearm. The preferred embodiments further include a grip shaped to increase the effectiveness of the tool and minimize antagonism between muscles and tendons of the wrist, forearm and upper arm, while maximizing the effectiveness of the gripping force delivered to it by the user. Maintaining the wrist and forearm in a neutral position increases a tool user's potential strength by increasing the synergy between large muscles of the forearm and upper arm and shoulders. It also decreases compression of the tendons and nerves in the carpal tunnel and between the wrist and forearm. Grips according to the invention preferably conform in shape, diameter and dimensions to the physical architecture of the hand such that grip tension and compression of the tendons in the wrist and forearm is optimized, minimizing the compressive force on the small muscles, tendons, and ligaments of the fingers, hand, wrist, and forearm, while maximizing the contributive effectiveness of the larger muscles of the forearm, upper arm and shoulder.	https://patents.google.com/patent/US8006351?oq=gardening+tools
Handle for household and gardening tools	english	A handle (10) is described which can be attached by means of a fastening coupling to gardening tools which have a corresponding complementary coupling. Locking is assured in known manner by means of a leaf spring (14), the protuberance (18) of which engages in a locking hole of an inserted tool insertion pin. In order to loosen the coupling, the leaf spring (14) must be lifted out radially. This is done by means of a rocker arm (36) which acts on the free end (20) of the leaf spring (14) and in turn is actuated by axial displacement of a release button (22) which is displaceably mounted in the end of the handle. The restoring of the release button (22) is effected by the radial springing back of the leaf spring (14) which swings the rocker arm (36) back, which arm in turn exerts an axial force on the release button (22).	https://patents.google.com/patent/US5809615?oq=gardening+tools
Steel 55MnB for domestic gardening tools and preparation method thereof	english	The invention relates to a steel 55MnB for domestic gardening tools and a preparation method thereof. The steel 55MnB for domestic gardening tools comprises 0.52-0.60% of C, 0.15-0.35% of Si, 0.70-1.00% of Mn, at most 0.025% of P, at most 0.008% of S, 0.010-0.060% of Als, 0.0005-0.0030% of B, and the balance of Fe and inevitable impurities. The preparation method adopts medium-carbon steel and comprises the following steps: molten iron desulfurization, converter blowing, LF (ladle furnace) refining, RH vacuum refining, continuous casting, hot direct charging, soaking, rough rolling, finish rolling, laminar cooling, coiling, slow cooling and factory leaving. The steel 55MnB for domestic gardening tools has higher carbon content and excellent hardenability, avoids hardness nonuniformity and overlow hardness of the medium-carbon steel after heat treatment, and enhances the processing yield; and the steel 55MnB for domestic gardening tools has favorable hardenability.	https://patents.google.com/patent/CN104630618A/en?oq=gardening+tools
